"filename", "language", "JSON", "JavaScript", "HTML", "PostCSS", "Markdown", "XML", "JSON with Comments", "comment", "blank", "total"
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\apps\app-store\index.html", "HTML", 0, 0, 1381, 0, 0, 0, 0, 8, 244, 1633
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\apps\app-store\main.js", "JavaScript", 0, 749, 0, 0, 0, 0, 0, 39, 65, 853
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\main.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 11, 4, 19
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\pages\assets\apps\app-store\index.html", "HTML", 0, 0, 223, 0, 0, 0, 0, 8, 31, 262
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\pages\assets\apps\app-store\main.js", "JavaScript", 0, 269, 0, 0, 0, 0, 0, 8, 12, 289
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\script.js", "JavaScript", 0, 4306, 0, 0, 0, 0, 0, 417, 605, 5328
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\scripts\Firebase.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 13, 8, 53
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\scripts\FirestoreHandler.js", "JavaScript", 0, 255, 0, 0, 0, 0, 0, 30, 36, 321
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\scripts\ServiceWorker.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 0, 8
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\styles\app-starter-template.html", "HTML", 0, 0, 29, 0, 0, 0, 0, 2, 4, 35
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\styles\generic-app-style.css", "PostCSS", 0, 0, 0, 921, 0, 0, 0, 38, 187, 1146
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\styles\generic-stylesheet-demo.html", "HTML", 0, 0, 1109, 0, 0, 0, 0, 14, 188, 1311
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\src\tailwind.css", "PostCSS", 0, 0, 0, 3, 0, 0, 0, 5, 2, 10
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\style.css", "PostCSS", 0, 0, 0, 1899, 0, 0, 0, 54, 301, 2254
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\sw.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 11, 10, 92
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\tailwind.config.cjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\vite.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 2, 15
"Total", "-", 720, 9319, 9642, 6230, 57, 3768, 92, 1166, 4301, 35295
